iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
108,16,10,6,0,3855,3311,-0.004941,0.037054,0.497123,0.0364,2.00,,
109,16,4,12,0,3811,3008,-0.003667,0.062859,0.520828,0.0245,1.98,,
110,16,9,7,0,3671,2616,-0.000472,0.054731,0.540506,0.0390,1.82,1.0000,20
111,16,10,6,0,3623,2824,-0.030111,0.046102,0.519386,0.0202,1.83,,
112,16,7,9,0,3165,2556,-0.004915,0.066141,0.524630,0.0286,1.62,,
113,16,11,5,0,3512,2775,-0.005234,0.044358,0.527288,0.0336,1.76,,
114,16,8,8,0,3224,2423,-0.005747,0.058783,0.531900,0.0225,1.60,,
115,16,8,8,0,4079,2916,-0.004813,0.046377,0.529454,0.0293,2.03,,
116,16,9,7,0,2819,2178,-0.010371,0.080959,0.542613,0.0237,1.46,,
117,16,9,7,0,2975,2382,-0.005660,0.050502,0.518394,0.0327,1.57,,
118,16,4,12,0,3088,1942,-0.005614,0.075867,0.513824,0.0289,1.42,,
119,16,7,9,0,3471,2657,-0.002813,0.067743,0.519190,0.0222,1.75,,
120,16,10,6,0,3042,2536,-0.003723,0.083213,0.506992,0.0162,1.57,1.0000,20
121,16,10,6,0,2962,2128,-0.003379,0.058043,0.525198,0.0236,1.50,,
122,16,11,5,0,3266,2702,-0.004253,0.050274,0.538641,0.0276,1.69,,
123,16,8,8,0,3277,2345,0.005884,0.071646,0.475184,0.0209,1.62,,
124,16,6,10,0,3386,2834,0.014049,0.051262,0.529779,0.0262,1.76,,
125,16,7,9,0,3046,2344,-0.014468,0.063260,0.516327,0.0249,1.62,,
126,16,8,8,0,3724,2779,-0.003209,0.074098,0.530825,0.0182,1.87,,
127,16,11,5,0,3881,2869,0.001814,0.049836,0.510237,0.0357,1.94,,
128,16,11,5,0,3420,2637,-0.012768,0.038576,0.503029,0.0286,1.92,,
129,16,8,7,1,3316,2060,-0.007686,0.054413,0.550685,0.0301,1.60,,
130,16,11,5,0,3104,2244,-0.005908,0.085839,0.503671,0.0152,1.58,1.0000,20
131,16,10,6,0,3232,2678,-0.002597,0.048660,0.508519,0.0269,1.63,,
132,16,7,8,1,3340,1761,-0.005589,0.050388,0.486931,0.0173,1.55,,
133,16,9,7,0,3245,2297,-0.004598,0.054165,0.531254,0.0258,1.65,,
134,16,7,9,0,2936,2060,-0.009087,0.061853,0.508466,0.0263,1.46,,
