iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games
100,16,7,9,0,2881,1972,-0.001787,0.129973,0.779880,0.0229,2.57,0.7000,20
101,16,11,5,0,2769,2045,-0.002309,0.097175,0.774071,0.0145,2.49,,
102,16,8,8,0,2838,2169,-0.005815,0.127213,0.797096,0.0265,2.60,,
103,16,7,9,0,3032,2347,-0.000133,0.112836,0.817011,0.0312,2.71,,
104,16,8,8,0,2859,1861,-0.003195,0.091156,0.849602,0.0365,2.55,,
105,16,7,9,0,2675,1886,-0.007112,0.108074,0.845237,0.0403,2.42,,
106,16,10,6,0,2762,1501,-0.004767,0.113685,0.826458,0.0234,2.47,,
107,16,4,12,0,2996,2260,-0.004357,0.103389,0.849956,0.0253,2.79,,
108,16,10,6,0,2532,1700,-0.001875,0.129500,0.843104,0.0260,2.19,,
109,16,7,9,0,2951,2260,-0.005165,0.126401,0.854703,0.0539,2.70,,
110,16,9,7,0,3176,2034,-0.003676,0.090733,0.872641,0.0308,2.94,0.6500,20
111,16,9,7,0,2543,2024,-0.007621,0.113393,0.830416,0.0442,2.30,,
112,16,6,10,0,2954,1963,-0.003970,0.080459,0.862934,0.0288,2.56,,
113,16,9,7,0,2843,2009,-0.008645,0.096255,0.864067,0.0316,2.59,,
114,16,6,10,0,2626,2162,-0.008516,0.113085,0.822890,0.0274,2.37,,
115,16,7,9,0,2721,1587,0.000828,0.113555,0.805867,0.0270,2.59,,
116,16,9,7,0,2783,2014,-0.005472,0.077203,0.893238,0.0304,2.45,,
117,16,7,9,0,2728,1764,-0.003886,0.123409,0.830557,0.0353,2.44,,
118,16,11,5,0,2862,2129,-0.008100,0.080830,0.901275,0.0499,2.61,,
119,16,6,10,0,2859,2063,0.000630,0.101974,0.947681,0.0357,2.52,,
120,16,7,9,0,2565,1864,0.005082,0.104140,1.003840,0.0406,2.28,0.7000,20
121,16,7,9,0,3015,2375,-0.010549,0.090393,0.952501,0.0602,2.75,,
122,16,8,8,0,2853,2208,-0.007376,0.099394,0.951672,0.0403,2.54,,
123,16,8,8,0,2657,2030,-0.004894,0.126642,1.028904,0.0348,2.40,,
124,16,8,8,0,2783,1953,-0.010276,0.116168,1.021191,0.0388,2.45,,
125,16,10,6,0,2713,1704,-0.006594,0.130103,1.044757,0.0328,2.37,,
126,16,11,5,0,2912,2083,-0.009952,0.103664,1.032874,0.0412,2.60,,
127,16,8,8,0,2954,2226,-0.009449,0.111176,1.057578,0.0418,2.79,,
128,16,8,8,0,2889,2168,-0.006053,0.116206,1.071618,0.0345,2.54,,
129,16,6,10,0,3293,2280,-0.007424,0.091245,1.053040,0.0577,2.87,,
130,16,7,9,0,2625,1957,-0.004772,0.093961,0.940789,0.0335,2.36,0.8500,20
131,16,9,7,0,2767,1989,-0.005213,0.104699,0.989478,0.0329,2.45,,
132,16,7,9,0,2898,2274,-0.007083,0.082920,0.896222,0.0427,2.68,,
133,16,7,9,0,2715,2193,-0.006741,0.116384,0.949948,0.0436,2.54,,
134,16,9,7,0,2657,1972,-0.008234,0.117376,0.906410,0.0373,2.37,,
135,16,9,7,0,2698,1839,-0.018086,0.106140,0.983352,0.0681,2.45,,
136,16,9,7,0,2708,1945,-0.004527,0.111179,1.008031,0.0293,2.51,,
137,16,6,10,0,2540,1820,-0.002164,0.101370,0.989117,0.0238,2.22,,
138,16,9,7,0,2954,2255,-0.007163,0.097802,0.967376,0.0647,2.69,,
139,16,11,5,0,2642,1845,-0.006109,0.106642,0.962312,0.0283,2.48,,
140,16,10,6,0,2581,1858,-0.008344,0.079841,0.932763,0.0659,2.36,0.8500,20
141,16,9,7,0,2713,2018,-0.006240,0.101089,0.980345,0.0460,2.70,,
142,16,7,9,0,2886,2198,-0.007411,0.108221,1.047183,0.0522,2.64,,
143,16,7,9,0,2787,2119,-0.001387,0.123596,1.075144,0.0507,2.52,,
144,16,9,7,0,2722,2257,-0.005484,0.092847,0.975231,0.0374,2.54,,
145,16,9,7,0,2935,2044,-0.005942,0.097537,1.005661,0.0586,2.64,,
146,16,10,6,0,2902,2016,-0.006401,0.133316,1.009929,0.0405,2.60,,
147,16,9,7,0,2684,1982,-0.009720,0.133194,0.928926,0.0539,2.42,,
148,16,8,8,0,2967,2010,-0.006943,0.111469,0.946316,0.0291,2.73,,
149,16,7,9,0,3012,2377,-0.004141,0.085563,0.949218,0.0591,2.77,,
150,16,8,8,0,2806,1959,-0.007337,0.145885,0.952565,0.0380,2.57,0.9500,20
151,16,3,13,0,2690,1780,-0.008402,0.103444,0.882504,0.0485,2.44,,
152,16,7,9,0,3059,2520,-0.006931,0.101716,0.924838,0.0605,2.92,,
153,16,10,6,0,2527,1695,-0.008238,0.099392,0.848617,0.0246,2.33,,
154,16,10,6,0,2832,2097,0.000069,0.102066,0.885712,0.0456,2.62,,
155,16,7,9,0,2926,2350,-0.000757,0.113871,0.901370,0.0607,2.69,,
156,16,8,8,0,2385,1874,-0.005904,0.114720,0.806744,0.0472,2.17,,
157,16,3,13,0,2819,2067,-0.016873,0.102885,0.922949,0.0468,2.53,,
