iter,games,wins,losses,draws,decisions,samples,pi_loss,v_loss,entropy,clip_frac,time_s,eval_win_rate,eval_games,eval_vs_agent_win_rate
205,16,7,9,0,1149,934,-0.011103,0.229342,0.804118,0.0284,1.05,,,
206,16,8,8,0,1387,1046,-0.014447,0.218370,0.824767,0.0256,1.27,,,
207,16,7,9,0,1406,902,-0.001265,0.209172,0.840739,0.0247,1.25,,,
208,16,6,10,0,1465,1181,-0.006638,0.198995,0.834628,0.0321,1.38,,,
209,16,11,5,0,1462,997,-0.005443,0.200670,0.814489,0.0196,1.23,,,
210,16,9,7,0,1121,717,-0.003565,0.206573,0.868001,0.0138,1.04,1.0000,20,0.8500
211,16,13,3,0,1169,921,-0.009433,0.179118,0.868555,0.0316,1.15,,,
212,16,11,5,0,1570,1177,-0.007295,0.182136,0.871747,0.0240,1.37,,,
213,16,10,6,0,1147,847,0.006864,0.245377,0.820107,0.0276,1.05,,,
214,16,7,9,0,1189,811,0.002827,0.215647,0.828795,0.0328,1.12,,,
215,16,9,7,0,1205,868,0.002808,0.231538,0.836031,0.0305,1.09,,,
216,16,9,7,0,1367,849,-0.015588,0.169632,0.856709,0.0215,1.23,,,
217,16,7,9,0,1561,1154,0.004023,0.194737,0.814968,0.0293,1.47,,,
218,16,3,13,0,1274,1036,-0.003128,0.248254,0.839397,0.0269,1.23,,,
219,16,10,6,0,1193,822,-0.005637,0.183016,0.907108,0.0172,1.07,,,
220,16,7,9,0,1598,1298,-0.045827,0.201805,0.834578,0.0277,1.43,0.9500,20,0.7000
221,16,10,6,0,1427,854,-0.028624,0.219086,0.839057,0.0351,1.23,,,
222,16,12,4,0,1362,1034,-0.028784,0.177225,0.881742,0.0229,1.32,,,
223,16,8,8,0,1327,993,-0.005632,0.220180,0.801494,0.0290,1.24,,,
224,16,13,3,0,1337,835,0.008509,0.190403,0.858818,0.0266,1.17,,,
225,16,11,5,0,1232,881,-0.009451,0.178530,0.788466,0.0357,1.17,,,
226,16,9,7,0,1177,777,0.054092,0.207291,0.786751,0.0169,1.10,,,
227,16,9,7,0,1294,976,-0.006355,0.198918,0.861878,0.0235,1.25,,,
228,16,11,5,0,1267,1005,-0.006677,0.222160,0.802122,0.0426,1.17,,,
229,16,5,11,0,1088,624,0.010522,0.228630,0.857102,0.0366,0.93,,,
230,16,7,9,0,1273,890,-0.005577,0.241260,0.834549,0.0252,1.23,0.9000,20,0.5500
231,16,10,6,0,1141,853,-0.002992,0.201990,0.771756,0.0349,0.98,,,
232,16,5,11,0,1377,1090,-0.007196,0.182129,0.823436,0.0389,1.24,,,
233,16,9,7,0,1330,1013,-0.004205,0.189589,0.801868,0.0392,1.23,,,
234,16,11,5,0,1239,887,-0.010886,0.263304,0.844815,0.0283,1.08,,,
235,16,6,10,0,1581,1114,0.002259,0.172228,0.910545,0.0349,1.41,,,
236,16,7,9,0,1195,850,-0.011826,0.158421,0.858211,0.0244,1.12,,,
237,16,5,11,0,1144,850,-0.002968,0.227224,0.827189,0.0207,1.02,,,
238,16,8,8,0,1200,963,-0.004194,0.249711,0.848851,0.0269,1.08,,,
239,16,5,11,0,1536,1094,-0.015269,0.189492,0.843618,0.0276,1.50,,,
240,16,12,4,0,1188,902,0.001239,0.214712,0.881367,0.0301,1.11,0.9500,20,0.6500
241,16,6,10,0,1325,931,-0.012979,0.213197,0.830953,0.0226,1.25,,,
242,16,4,12,0,1213,945,-0.007748,0.184506,0.819983,0.0202,1.10,,,
243,16,12,4,0,1178,808,-0.019452,0.224979,0.881926,0.0343,1.07,,,
244,16,8,8,0,1153,796,-0.024379,0.237164,0.826614,0.0402,1.05,,,
245,16,6,10,0,1200,837,-0.004455,0.222749,0.828897,0.0256,1.07,,,
